ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
IILEPE2180,Lepidoptera,Brown Elfin,Callophrys augustinus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,32,Callophrys augustinus,1,IB,IILEPE2180,Brown Elfin
IILEPE2130,Lepidoptera,Juniper Hairstreak,Callophrys gryneus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,33,Callophrys gryneus,9,IB,IILEPE2130,Juniper Hairstreak
IILEPE2230,Lepidoptera,Henry's Elfin,Callophrys henrici,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,34,Callophrys henrici,10,IB,IILEPE2230,Henry's Elfin
IILEPE2220,Lepidoptera,Frosted Elfin,Callophrys irus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,35,Callophrys irus,21,IB,IILEPE2220,Frosted Elfin
IILEPE2210,Lepidoptera,Hoary Elfin,Callophrys polios,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,36,Callophrys polios,10,IB,IILEPE2210,Hoary Elfin
IIODO65010,Odonates,River Jewelwing,Calopteryx aequabilis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,37,Calopteryx aequabilis,14,ID,IIODO65010,River Jewelwing
IIODO65030,Odonates,Superb Jewelwing,Calopteryx amata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,38,Calopteryx amata,6,ID,IIODO65030,Superb Jewelwing
IIODO65020,Odonates,Appalachian Jewelwing,Calopteryx angustipennis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,39,Calopteryx angustipennis,10,ID,IIODO65020,Appalachian Jewelwing
IILEY9Q010,Lepidoptera,Curved Halter Moth,Capis curvata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,40,Capis curvata,2,IB,IILEY9Q010,
IILEYD9010,Lepidoptera,Rare Sand Quaker,Caradrina meralis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,41,Platyperigea meralis,4,IB,IILEYD9010,A Noctuid Moth
IILEU3N080,Lepidoptera,Southern Pine Looper Moth,Caripeta aretaria,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,42,Caripeta aretaria,4,IB,IILEU3N080,Southern Pine Looper Moth
IILEP42011,Lepidoptera,Arctic Skipper,Carterocephalus palaemon mandan,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,43,Carterocephalus palaemon mandan,4,IB,IILEP42011,Arctic Skipper
IMGAS07020,Snails,Obese Thorn,Carychium exiguum,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,44,Carychium exiguum,1,IO,IMGAS07020,Obese Thorn
IILEY89870,Lepidoptera,Miranda Underwing,Catocala miranda,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,45,Catocala miranda,1,IB,IILEY89870,Miranda Underwing
IILEY89X10,Lepidoptera,Pine Woods Underwing,Catocala sp. 1 nr. jair,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,46,Catocala sp. 1 nr. jair,1,IB,IILEY89X10,Pine Woods Underwing
IILEPG0030,Lepidoptera,Appalachian Azure,Celastrina neglectamajor,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,47,Celastrina neglectamajor,1,IB,IILEPG0030,Appalachian Azure
IILEPG0020,Lepidoptera,Dusky Azure,Celastrina nigra,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,48,Celastrina nigra,1,IB,IILEPG0020,Dusky Azure
IIODO37050,Odonates,Banded Pennant,Celithemis fasciata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,49,Celithemis fasciata,2,ID,IIODO37050,Banded Pennant
IILEYFM010,Lepidoptera,a sallow moth,Chaetaglaea cerata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,50,Chaetaglaea cerata,5,IB,IILEYFM010,a sallow moth
IILEYFM020,Lepidoptera,Barrens Chaetoglaea,Chaetaglaea tremula,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,51,Chaetaglaea tremula,2,IB,IILEYFM020,Barrens Chaetaglaea
IITRI22040,Caddisflies,Helma's Cheumatopsyche Caddisfly,Cheumatopsyche helma,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,iNaturalist,,,,,,,,52,Cheumatopsyche helma,1,IO,IITRI22040,Helma's Cheumatopsyche Caddisfly
IITRI22030,Caddisflies,Vannote's Cheumatopsyche Caddisfly,Cheumatopsyche vannotei,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,iNaturalist,,,,,,,,53,Cheumatopsyche vannotei,1,IO,IITRI22030,Vannote's Cheumatopsyche Caddisfly
IILEPJ9150,Lepidoptera,Harris' Checkerspot,Chlosyne harrisii,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,54,Chlosyne harrisii,17,IB,IILEPJ9150,Harris' Checkerspot
IILEPJ9140,Lepidoptera,Silvery Checkerspot,Chlosyne nycteis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,55,Chlosyne nycteis,19,IB,IILEPJ9140,Silvery Checkerspot
ABNKC12060,Birds,Northern Goshawk,Accipiter gentilis,Terrestrial,n/a,Yes,Yes,Yes - PNHP SGCN,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,56,,,,,
ABNKC12020,Birds,Sharp-shinned Hawk,Accipiter striatus,Terrestrial,n/a,Yes,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,57,,,,,
AFCAA01010,Fish,Shortnose Sturgeon,Acipenser brevirostrum,Aquatic,n/a,n/a,n/a,n/a,n/a,n/a ,n/a,n/a,n/a,n/a,,n/a ,,,,,,,,,,58,,,,,
AFCAA01020,Fish,Lake Sturgeon,Acipenser fulvescens,Aquatic,n/a,n/a,n/a,n/a,n/a,n/a ,n/a,n/a,n/a,n/a,,n/a ,,,,,,,,,,59,,,,,
AFCAA01040,Fish,Atlantic Sturgeon,Acipenser oxyrhynchus,Aquatic,n/a,n/a,n/a,n/a,n/a,n/a ,n/a,n/a,n/a,n/a,,n/a ,,,,,,,,,,60,,,,,
AAABC01030,Amphibians,Northern Cricket Frog,Acris crepitans,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,Yes,,,,,,,,,,61,,,,,
IIPLE1L020,Stoneflies,Eastern Stone,Acroneuria arenosa,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,62,,,,,
IIPLE1L030,Stoneflies,Elegant Stone,Acroneuria arida,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,63,,,,,
IIPLE1L100,Stoneflies,Lobed Stone,Acroneuria internata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,64,,,,,
ABNNF04020,Birds,Spotted Sandpiper,Actitis macularius,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,65,,,,,
ABNSB15020,Birds,Northern Saw-whet Owl,Aegolius acadicus,Terrestrial,n/a,Yes,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,66,,,,,
IIODO14070,Odonates,Variable Darner,Aeshna interrupta,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,67,,,,,
