ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
IIODO08140,Odonates,Splendid Clubtail,Gomphus lineatifrons,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,201,Gomphus lineatifrons,1,ID,IIODO08140,Splendid Clubtail
IIODO08380,Odonates,Rapids Clubtail,Gomphus quadricolor,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,202,Gomphus quadricolor,12,ID,IIODO08380,Rapids Clubtail
IIODO08180,Odonates,Sable Clubtail,Gomphus rogersi,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,203,Gomphus rogersi,25,ID,IIODO08180,Sable Clubtail
IIODO08210,Odonates,Skillet Clubtail,Gomphus ventricosus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,204,Gomphus ventricosus,3,ID,IIODO08210,Skillet Clubtail
IIODO08460,Odonates,Green-faced Clubtail,Gomphus viridifrons,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,205,Gomphus viridifrons,8,ID,IIODO08460,Green-faced Clubtail
IILEYCB020,Lepidoptera,Marvel Moth,Chytonix sensilis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,206,,,,,
IICOL02040,Tiger Beetles,big sand tiger beetle,Cicindela formosa,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,207,,,,,
IICOL02100,Tiger Beetles,hairy-necked tiger beetle,Cicindela hirticollis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,208,,,,,
IICOL02290,Tiger Beetles,Festive Tiger Beetle,Cicindela scutellaris,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,209,,,,,
IICOL02320,Tiger Beetles,Splendid Tiger Beetle,Cicindela splendida,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,210,,,,,
IICOL02310,Tiger Beetles,one-spotted tiger beetle,Cicindela unipunctata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,211,,,,,
ABNKC11010,Birds,Northern Harrier,Circus cyaneus,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,212,,,,,
ABPBG10020,Birds,Marsh Wren,Cistothorus palustris,Terrestrial,n/a,Yes,Maybe,n/a,https://nalcc.databasin.org/maps/d4da1730b27b411dbeb6260f3c1158f8,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,213,,,,,
ABPBG10010,Birds,Sedge Wren,Cistothorus platensis,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,214,,,,,
ABNJB16010,Birds,Long-tailed Duck,Clangula hyemalis,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,215,,,,,
ARAAD02010,Reptiles,Spotted Turtle,Clemmys guttata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,Yes,,,,,,,,,,216,,,,,
AFCJB05010,Fish,Redside Dace,Clinostomus elongatus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,217,,,,,
ARADB06010,Reptiles,Kirtland's Snake,Clonophis kirtlandii,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,Yes,,,,,,,,,,218,,,,,
IMGAS13040,Snails,--,Columella columella,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,219,,,,,
ABPAE32010,Birds,Olive-sided Flycatcher,Contopus cooperi,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,Yes,,,,,,,,,220,,,,,
IILEYGB010,Lepidoptera,Grote's Sallow,Copivaleria grotei,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,221,,,,,
AFCHA01020,Fish,Cisco,Coregonus artedi,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,222,,,,,
AFC4E02330,Fish,Checkered Sculpin,Cottus sp. cf. cognatus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,223,,,,,
ARADE02040,Reptiles,Timber Rattlesnake,Crotalus horridus,Terrestrial,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,n/a ,n/a,n/a,n/a ,n/a,,Yes,,,,,,,,,,224,,,,,
AAAAC01011,Amphibians,Eastern Hellbender,Cryptobranchus alleganiensis alleganiensis,Aquatic,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,https://nalcc.databasin.org/datasets/74d931dc49ba4f12b3f89b9d2f5b4e74,Yes,Yes,n/a ,n/a,,Yes,,,,,,,,,,225,,,,,
AMABA04010,Mammals,North American Least Shrew,Cryptotis parva,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,226,,,,,
AFCPA02010,Fish,Brook Stickleback,Culaea inconstans,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,227,,,,,
ABNJB02010,Birds,Tundra Swan,Cygnus columbianus,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,228,,,,,
IILEPP2010,Lepidoptera,Monarch,Danaus plexippus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,229,,,,,
IILEYJE050,Lepidoptera,The Pink Streak,Dargida rubripennis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,230,,,,,
IMGAS87040,Snails,Meadow Slug,Deroceras laeve,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,231,,,,,
IILEYL1020,Lepidoptera,A Noctuid Moth,Dichagyris acclivis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,232,,,,,
IILEYL1010,Lepidoptera,A Noctuid Moth,Dichagyris grotei,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,233,,,,,
IMGAS54030,Snails,Angular Disc,Discus catskillensis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,234,,,,,
ABPBXA9010,Birds,Bobolink,Dolichonyx oryzivorus,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,235,,,,,
ABPBK01010,Birds,Gray Catbird,Dumetella carolinensis,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,236,,,,,
IILEYDE060,Lepidoptera,A Midget Moth,Elaphria georgei,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,237,,,,,
IICOL02250,Tiger Beetles,Ghost Tiger Beetle,Ellipsoptera lepida,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,238,,,,,
IMBIV14120,Mussels,Northern Spike,Elliptio fisheriana,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,239,,,,,
ABPAE33010,Birds,Yellow-bellied Flycatcher,Empidonax flaviventris,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,Yes,,,,,,,,,240,,,,,
ABPAE33040,Birds,Willow Flycatcher,Empidonax traillii,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,241,,,,,
ARAAD04010,Reptiles,Blanding's Turtle,Emydoidea blandingii,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,Yes,,,,,,,,,,242,,,,,
IIODO71280,Odonates,River Bluet,Enallagma anna,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,243,,,,,
IIODO71050,Odonates,Tule Bluet,Enallagma carunculatum,Aquatic/Terrestrial(generalist),n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,244,,,,,
IIODO71060,Odonates,Attenuated Bluet,Enallagma daeckii,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,245,,,,,
IIODO71170,Odonates,Atlantic Bluet,Enallagma doubledayi,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,246,,,,,
AFCQB10030,Fish,Banded Sunfish,Enneacanthus obesus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,247,,,,,
IIEPH11110,Mayflies,,Ephemerella aurivillii,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,248,,,,,
IIEPH11120,Mayflies,Pale Morning Dun,Ephemerella excrucians,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,249,,,,,
IIEPH11060,Mayflies,,Ephemerella floripara,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,250,,,,,
IIEPH11060,Mayflies,,Ephemerella inconstans,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,251,,,,,
IIEPH11060,Mayflies,--,Ephemerella invaria,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,252,,,,,
IIODO29040,Odonates,Slender Baskettail,Epitheca costalis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,253,,,,,
IIODO29080,Odonates,spiny baskettail,Epitheca spinigera,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,254,,,,,
AMACC04010,Mammals,Big Brown Bat,Eptesicus fuscus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,255,,,,,
AFCJB50020,Fish,Streamline Chub,Erimystax dissimilis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,256,,,,,
AFCJB50050,Fish,Gravel Chub,Erimystax x-punctatus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,257,,,,,
IILEPF3010,Lepidoptera,Early Hairstreak,Erora laeta,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,258,,,,,
IIODO40030,Odonates,Seaside Dragonlet,Erythrodiplax berenice,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,259,,,,,
IIODO40110,Odonates,Little Blue Dragonlet,Erythrodiplax minuscula,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,260,,,,,
AFCQC02240,Fish,Iowa Darter,Etheostoma exile,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,261,,,,,
AFCQC02420,Fish,Spotted Darter,Etheostoma maculatum,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,262,,,,,
AFCQC02540,Fish,Tessellated Darter,Etheostoma olmstedi,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,263,,,,,
AFCQC02800,Fish,Tippecanoe Darter,Etheostoma tippecanoe,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,264,,,,,
AFCQC02830,Fish,Variegate Darter,Etheostoma variatum,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,265,,,,,
IMGAS94050,Snails,--,Euchemotrema leai,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,266,,,,,
IMGAS70030,Snails,Toothed Hive,Euconulus dentatus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,267,,,,,
IMGAS70020,Snails,Brown Hive,Euconulus fulvus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,268,,,,,
ABPBXB5010,Birds,Rusty Blackbird,Euphagus carolinus,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,269,,,,,
IILEP77090,Lepidoptera,Two-spotted Skipper,Euphyes bimacula,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,270,,,,,
IIEPH28160,Mayflies,Two-colored Chocolate Dun,Eurylophella bicoloroides,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,271,,,,,
IIEPH28180,Mayflies,Poconos Chocolate Dun,Eurylophella poconoensis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,272,,,,,
IILEP93010,Lepidoptera,Zebra Swallowtail,Eurytides marcellus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,273,,,,,
AFCJB12010,Fish,Tonguetied Minnow,Exoglossum laurae,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,274,,,,,
AFCJB12020,Fish,Cutlip Minnow,Exoglossum maxillingua,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,275,,,,,
IILEYCY010,Lepidoptera,Marsh Fern Moth,Fagitana littera,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,276,,,,,
ABNKD06070,Birds,Peregrine Falcon,Falco peregrinus,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,277,,,,,
ABNKD06020,Birds,American Kestrel,Falco sparverius,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,278,,,,,
IMGASG5040,Snails,Watercress Snail,Fontigens nickliniana,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,279,,,,,
IMGASG5050,Snails,Blue Ridge Springsnail,Fontigens orolibas,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,280,,,,,
ABNME14020,Birds,American Coot,Fulica americana,Terrestrial,n/a,n/a,Yes,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,281,,,,,
ABNNF18030,Birds,Wilson's Snipe,Gallinago delicata,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,282,,,,,
ABNME13010,Birds,Common Gallinule,Gallinula galeata,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,283,,,,,
ICMAL10120,Amphipods,,Gammarus cohabitus,Subterranean,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,Yes - dataset is forthcoming,n/a,,n/a ,,iNaturalist,,,,,,,,284,,,,,
AFCPA03010,Fish,Threespine Stickleback,Gasterosteus aculeatus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,285,,,,,
IMGAS15010,Snails,Armed Snaggletooth,Gastrocopta armifera,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,286,,,,,
IMGAS15060,Snails,Bark Snaggletooth,Gastrocopta corticaria,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,287,,,,,
IMGAS15190,Snails,White Snaggletooth,Gastrocopta tappaniana,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,288,,,,,
IMGAS72020,Snails,Brown Bellytooth,Gastrodonta interna,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,289,,,,,
ILARA28010,Spiders,Turret Spider,Geolycosa turricola,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,290,,,,,
ILARA46010,Spiders,Wright's Burrowing Wolf Spider,Geolycosa wrighti,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,291,,,,,
ABPBX11010,Birds,Kentucky Warbler,Geothlypis formosa,Terrestrial,Yes,Yes,,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,292,,,,,
AMAFB09020,Mammals,Northern Flying Squirrel,Glaucomys sabrinus,Terrestrial,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,293,,,,,
IMGAS73160,Snails,Maryland Glyph,Glyphyalinia raderi,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,iNaturalist,,,,,,,,294,,,,,
ARAAD02020,Reptiles,Wood Turtle,Glyptemys insculpta,Terrestrial,n/a,n/a,n/a,n/a,https://nalcc.databasin.org/maps/d4da1730b27b411dbeb6260f3c1158f8,n/a ,Yes,n/a,n/a ,n/a,,Yes,,,,,,,,,,295,,,,,
ARAAD02040,Reptiles,Bog Turtle,Glyptemys muhlenbergii,Terrestrial,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,n/a ,Yes,n/a,n/a ,n/a,,Yes,,,,,,,,,,296,,,,,
IIODO08230,Odonates,Beaverpond Clubtail,Gomphus borealis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,297,,,,,
IIODO08191,Odonates,Septima's Clubtail,Gomphus septima delawarensis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,298,,,,,
IILEY2R260,Lepidoptera,Phyllira Tiger Moth,Grammia phyllira,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,299,,,,,
IMGASM5030,Snails,Flexed Gyro,Gyraulus deflectus,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,300,,,,,
ABNKC10010,Birds,Bald Eagle,Haliaeetus leucocephalus,Terrestrial,n/a,Yes,Maybe,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,301,,,,,
IIPLE1S010,Stoneflies,Appalachian Stone,Hansonoperla appalachia,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,302,,,,,
IIODO30020,Odonates,Uhler's Sundragon,Helocordulia uhleri,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,303,Helocordulia uhleri,7,ID,IIODO30020,Uhler's Sundragon
IILEW0M040,Lepidoptera,Barrens Buckmoth,Hemileuca maia,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,304,Hemileuca maia,9,IB,IILEW0M040,Barrens Buckmoth
IILEYLX020,Lepidoptera,Sundew Cutworm Moth,Hemipachnobia monochromatea,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,305,Hemipachnobia monochromatea,3,IB,IILEYLX020,Sundew Cutworm Moth
IILEP65060,Lepidoptera,Leonard's Skipper,Hesperia leonardus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,306,Hesperia leonardus,28,IB,IILEP65060,Leonard's Skipper
IILEP65100,Lepidoptera,Cobweb Skipper,Hesperia metea,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,307,Hesperia metea,8,IB,IILEP65100,Cobweb Skipper
IILEP65160,Lepidoptera,Indian Skipper,Hesperia sassacus,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,308,Hesperia sassacus,2,IB,IILEP65160,Indian Skipper
IIODO66020,Odonates,Smoky Rubyspot,Hetaerina titia,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,309,Hetaerina titia,4,ID,IIODO66020,Smoky Rubyspot
IILEU1T020,Lepidoptera,Esther Moth,Hypagyrtis esther,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,310,Hypagyrtis esther,3,IB,IILEU1T020,Esther Moth
IIODO72020,Odonates,Lilypad forktail,Ischnura kellicotti,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,311,Ischnura kellicotti,3,ID,IIODO72020,Lilypad forktail
IIODO45210,Odonates,Blue Corporal,Ladona deplanata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,312,Ladona deplanata,2,ID,IIODO45210,Blue Corporal
IILEQ08040,Lepidoptera,Black-waved Flannel Moth,Lagoa crispata,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,313,Lagoa crispata,3,IB,IILEQ08040,Black-waved Flannel Moth
IMBIV21110,Mussels,Pink Mucket,Lampsilis abrupta,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,314,Lampsilis abrupta,7,IU,IMBIV21110,Pink Mucket
IMBIV21050,Mussels,Yellow Lampmussel,Lampsilis cariosa,Aquatic,n/a,n/a,n/a,Yes - PNHP Susquehanna,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,315,Lampsilis cariosa,80,IU,IMBIV21050,Yellow Lampmussel
IMBIV21130,Mussels,Pocketbook,Lampsilis ovata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,Yes,n/a,n/a ,n/a,,n/a ,,,,,,,,,,316,Lampsilis ovata,2,IU,IMBIV21130,Pocketbook
IMBIV21160,Mussels,Eastern Lampmussel,Lampsilis radiata,Aquatic,n/a,n/a,n/a,Yes - PNHP Susquehanna,n/a ,n/a ,Yes,Yes,n/a ,n/a,,n/a ,,,,,,,,,,317,Lampsilis radiata,6,IU,IMBIV21160,Eastern Lampmussel
